Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2022,1060.15,1079.95,1059.00,1067.35,1066.299563778580024067,26592,2613,28355038.00,8872,33.36,20.95,7.20
4-January-2022,1080.00,1084.80,1042.00,1081.00,1067.086136209847550053,25123,3003,26808405.00,7104,28.28,42.80,1.00
3-January-2022,1035.00,1070.00,1030.00,1064.80,1050.834029836240828028,41158,4303,43250227.00,20020,48.64,40.00,29.80
31-December-2021,1007.00,1041.90,1001.85,1023.35,1023.682112465013711797,35371,3470,36208660.00,16161,45.69,40.05,16.35
30-December-2021,986.00,1013.45,980.80,998.50,999.966563487457277358,31014,2714,31012963.00,15138,48.81,32.65,12.50
29-December-2021,998.10,1009.00,974.60,984.15,998.883348424766603178,32027,3425,31991237.00,17327,54.10,34.40,-13.95
28-December-2021,983.85,1001.95,976.65,987.50,986.268642568250758341,15824,2147,15606715.00,8269,52.26,25.30,3.65
27-December-2021,984.25,992.00,973.00,983.35,982.337784299339691856,6815,870,6694632.00,3687,54.10,19.00,-0.90
24-December-2021,1013.55,1014.60,973.00,989.85,989.413613831459315681,8271,1231,8183440.00,1327,16.04,41.60,-23.70
23-December-2021,974.90,996.60,974.90,990.70,988.199965641642329496,5821,814,5752312.00,1700,29.20,21.70,15.80
22-December-2021,967.00,985.05,967.00,973.20,975.731028595817328211,11715,1430,11430689.00,4605,39.31,18.05,6.20
21-December-2021,960.20,983.45,946.45,963.00,963.996751782008481458,11083,1520,10683976.00,4833,43.61,37.00,2.80
20-December-2021,988.00,988.00,932.10,961.95,953.150264774412200804,23605,1793,22499112.00,9886,41.88,55.90,-26.05
17-December-2021,995.00,1010.00,975.90,984.15,990.478292417462812915,8269,1185,8190265.00,1945,23.52,34.10,-10.85
16-December-2021,1001.10,1012.00,987.70,998.60,1001.200904592546775939,25868,2098,25899065.00,12166,47.03,24.30,-2.50
15-December-2021,999.25,1004.00,981.35,987.05,990.496567717996289424,10780,2041,10677553.00,4616,42.82,22.65,-12.20
14-December-2021,988.00,1006.50,971.30,991.65,993.462632327381892874,6329,720,6287625.00,2429,38.38,35.20,3.65
13-December-2021,999.00,1010.50,982.15,989.35,998.570427515268402442,15555,1522,15532763.00,5766,37.07,28.35,-9.65
10-December-2021,1000.75,1006.00,982.30,990.55,995.237068965517241379,6960,908,6926850.00,3429,49.27,23.70,-10.20
9-December-2021,1012.10,1012.10,995.85,999.80,1001.152665748573676962,5083,744,5088859.00,2076,40.84,16.25,-12.30
8-December-2021,1005.00,1015.10,1005.00,1007.60,1010.870660053414727203,7863,919,7948476.00,1811,23.03,10.10,2.60
7-December-2021,1005.00,1008.70,985.15,998.15,1000.717609438747381188,9069,1113,9075508.00,3196,35.24,23.55,-6.85
6-December-2021,1020.00,1020.00,981.00,984.90,993.314408808042125418,10445,1403,10375169.00,3728,35.69,39.00,-35.10
3-December-2021,1000.00,1012.00,998.00,1004.50,1005.022877047636979853,10622,1412,10675353.00,4062,38.24,14.00,4.50
2-December-2021,1009.85,1012.45,998.30,1000.75,1003.772785829307568438,6210,875,6233429.00,2700,43.48,14.15,-9.10
1-December-2021,1050.95,1050.95,996.70,1001.70,1007.278959661637522883,15841,1016,15956306.00,5790,36.55,54.25,-49.25
30-November-2021,1050.00,1070.10,1008.05,1011.85,1033.497394399017074100,23603,2002,24393639.00,6207,26.30,62.05,-38.15
29-November-2021,1074.35,1074.35,952.95,1058.90,1028.114063648776389034,47605,5420,48943370.00,12361,25.97,121.40,-15.45
26-November-2021,1102.00,1102.00,1053.70,1074.35,1074.053013746915756080,14185,1598,15235442.00,4405,31.05,48.30,-27.65
25-November-2021,1101.00,1127.70,1094.40,1109.60,1108.296950416849495392,9116,1047,10103235.00,2183,23.95,33.30,8.60
24-November-2021,1131.00,1139.00,1085.40,1104.25,1115.753472942152187435,14469,1691,16143837.00,6992,48.32,53.60,-26.75
23-November-2021,1116.75,1130.00,1094.00,1126.80,1111.325221238938053097,14012,1724,15571889.00,2607,18.61,36.00,10.05
22-November-2021,1119.10,1129.70,1089.05,1116.75,1111.398371951872612374,28009,3357,31129157.00,11438,40.84,40.65,-2.35
18-November-2021,1136.60,1175.95,1118.40,1142.00,1148.690974462985157186,32541,2438,37379553.00,8924,27.42,57.55,5.40
17-November-2021,1130.30,1148.85,1114.20,1132.15,1129.987916868052199130,10345,1087,11689725.00,2496,24.13,34.65,1.85
16-November-2021,1085.00,1142.00,1085.00,1129.45,1125.647000668779622575,34391,3333,38712126.00,18683,54.33,57.00,44.45
15-November-2021,1098.00,1108.35,1076.45,1079.95,1083.320642072655589974,17755,2023,19234358.00,8014,45.14,31.90,-18.05
12-November-2021,1109.25,1115.75,1090.00,1100.35,1104.612288896873877111,8349,801,9222408.00,3446,41.27,25.75,-8.90
11-November-2021,1120.00,1128.55,1098.45,1104.30,1112.615883726966000519,11559,1395,12860727.00,5742,49.68,30.10,-15.70
10-November-2021,1140.00,1140.00,1120.00,1123.35,1127.358140483229687022,9809,1264,11058256.00,4101,41.81,20.00,-16.65
9-November-2021,1168.00,1177.45,1131.80,1140.80,1152.419385245901639344,24400,1543,28119033.00,9014,36.94,45.65,-27.20
8-November-2021,1100.05,1175.00,1099.45,1167.30,1140.113370998116760828,21240,1532,24216008.00,8877,41.79,75.55,67.25
